cmd,speed,acc
45.0,2.8000000000000003,5.2010574
50.0,2.8000000000000003,5.2009506
55.0,2.8000000000000003,5.20096
60.0,2.8000000000000003,5.2006683
65.0,2.8000000000000003,5.43281
70.0,2.8000000000000003,5.3922024
75.0,2.8000000000000003,5.376951
80.0,2.8000000000000003,5.3849125
0.0,3.0,5.3837357
5.0,3.0,5.3832397
10.0,3.0,5.3833065
15.0,3.0,5.3831387
20.0,3.0,5.383003
25.0,3.0,5.382889
30.0,3.0,5.3827705
35.0,3.0,5.382658
40.0,3.0,5.3825493
45.0,3.0,5.3824463
50.0,3.0,5.382347
55.0,3.0,5.38225
60.0,3.0,5.3821583
65.0,3.0,5.3820724
70.0,3.0,5.3819885
75.0,3.0,5.3819103
80.0,3.0,5.38183
0.0,3.2,5.3817673
5.0,3.2,5.3817368
10.0,3.2,5.3817844
15.0,3.2,5.3817024
20.0,3.2,5.5758133
25.0,3.2,5.5479126
30.0,3.2,5.5356426
35.0,3.2,5.5409374
40.0,3.2,5.540392
45.0,3.2,5.540184
50.0,3.2,5.540245
55.0,3.2,5.5401993
60.0,3.2,5.540165
65.0,3.2,5.54014
70.0,3.2,5.5401154
75.0,3.2,5.5400906
80.0,3.2,5.540062
0.0,3.4000000000000004,5.540041
5.0,3.4000000000000004,5.54002
10.0,3.4000000000000004,5.539997
15.0,3.4000000000000004,5.53998
20.0,3.4000000000000004,5.539959
25.0,3.4000000000000004,5.5399437
30.0,3.4000000000000004,5.5399303
35.0,3.4000000000000004,5.539915
40.0,3.4000000000000004,5.5399113
45.0,3.4000000000000004,5.539936
50.0,3.4000000000000004,5.5400066
55.0,3.4000000000000004,5.5400295
60.0,3.4000000000000004,5.701147
65.0,3.4000000000000004,5.6822395
70.0,3.4000000000000004,5.67284
75.0,3.4000000000000004,5.6763268
80.0,3.4000000000000004,5.676111
0.0,3.6,5.676092
5.0,3.6,5.6761723
10.0,3.6,5.676203
15.0,3.6,5.676237
20.0,3.6,5.6762733
25.0,3.6,5.6763096
30.0,3.6,5.676344
35.0,3.6,5.6763725
40.0,3.6,5.676407
45.0,3.6,5.6764374
50.0,3.6,5.676468
55.0,3.6,5.6764946
60.0,3.6,5.676525
65.0,3.6,5.6765537
70.0,3.6,5.6765842
75.0,3.6,5.6766148
80.0,3.6,5.676653
0.0,3.8000000000000003,5.6767178
5.0,3.8000000000000003,5.6768036
10.0,3.8000000000000003,5.6768703
15.0,3.8000000000000003,5.809799
20.0,3.8000000000000003,5.7970734
25.0,3.8000000000000003,5.79014
30.0,3.8000000000000003,5.792452
35.0,3.8000000000000003,5.792412
40.0,3.8000000000000003,5.7925014
45.0,3.8000000000000003,5.7926064
50.0,3.8000000000000003,5.7926846
55.0,3.8000000000000003,5.7927647
60.0,3.8000000000000003,5.792839
65.0,3.8000000000000003,5.7929153
70.0,3.8000000000000003,5.792988
75.0,3.8000000000000003,5.7930546
80.0,3.8000000000000003,5.7931213
0.0,4.0,5.793186
5.0,4.0,5.793249
10.0,4.0,5.793312
15.0,4.0,5.793371
20.0,4.0,5.7934303
25.0,4.0,5.7934895
30.0,4.0,5.7935467
35.0,4.0,5.7936172
40.0,4.0,5.793707
45.0,4.0,5.7938023
50.0,4.0,5.79389
55.0,4.0,5.903042
60.0,4.0,5.894434
65.0,4.0,5.8894806
70.0,4.0,5.8910465
75.0,4.0,5.8911037
80.0,4.0,5.8912525
0.0,4.2,5.8913765
5.0,4.2,5.8914814
10.0,4.2,5.8915863
15.0,4.2,5.8916874
20.0,4.2,5.8917866
25.0,4.2,5.89188
30.0,4.2,5.8919697
35.0,4.2,5.8920574
40.0,4.2,5.8921432
45.0,4.2,5.8922253
50.0,4.2,5.8923054
55.0,4.2,5.8923817
60.0,4.2,5.892458
65.0,4.2,5.892536
70.0,4.2,5.8926163
75.0,4.2,5.892704
80.0,4.2,5.892809
0.0,4.4,5.892908
5.0,4.4,5.8930035
10.0,4.4,5.982317
15.0,4.4,5.976368
20.0,4.4,5.972925
25.0,4.4,5.974024
30.0,4.4,5.9741383
35.0,4.4,5.9743156
40.0,4.4,5.974449
45.0,4.4,5.9745693
50.0,4.4,5.9746857
55.0,4.4,5.9748
60.0,4.4,5.974909
65.0,4.4,5.9750175
70.0,4.4,5.9751186
75.0,4.4,5.975216
80.0,4.4,5.9753113
0.0,4.6000000000000005,5.975403
5.0,4.6000000000000005,5.9754925
10.0,4.6000000000000005,5.9755783
15.0,4.6000000000000005,5.975668
20.0,4.6000000000000005,5.975754
25.0,4.6000000000000005,5.9758434
30.0,4.6000000000000005,5.9759426
35.0,4.6000000000000005,5.976061
40.0,4.6000000000000005,5.9761677
45.0,4.6000000000000005,5.976261
50.0,4.6000000000000005,-2.588253
55.0,4.6000000000000005,3.2752838
60.0,4.6000000000000005,0.73742294
65.0,4.6000000000000005,1.4947205
70.0,4.6000000000000005,1.5438309
75.0,4.6000000000000005,1.4276581
80.0,4.6000000000000005,1.5891571
0.0,4.800000000000001,1.5700417
5.0,4.800000000000001,1.6208496
10.0,4.800000000000001,1.6588135
15.0,4.800000000000001,1.6916122
20.0,4.800000000000001,1.7340317
25.0,4.800000000000001,1.7735062
30.0,4.800000000000001,1.8164749
35.0,4.800000000000001,1.8608513
40.0,4.800000000000001,1.9064445
45.0,4.800000000000001,1.9534454
50.0,4.800000000000001,2.001236
55.0,4.800000000000001,2.0497837
60.0,4.800000000000001,2.0990162
65.0,4.800000000000001,2.1488743
70.0,4.800000000000001,2.198166
75.0,4.800000000000001,2.2430801
80.0,4.800000000000001,2.2766495
0.0,5.0,2.3705025
5.0,5.0,3.1258087
10.0,5.0,2.6523056
15.0,5.0,2.8894825
20.0,5.0,2.8205814
25.0,5.0,2.794424
30.0,5.0,2.8052788
35.0,5.0,2.7810688
40.0,5.0,2.775158
45.0,5.0,2.7661095
50.0,5.0,2.756363
55.0,5.0,2.749218
60.0,5.0,2.7416
65.0,5.0,2.7348957
70.0,5.0,2.7287827
75.0,5.0,2.723112
80.0,5.0,2.7180195
0.0,5.2,2.7134209
5.0,5.2,2.7093334
10.0,5.2,2.7057972
15.0,5.2,2.7028236
20.0,5.2,2.7001839
25.0,5.2,2.69771
30.0,5.2,2.693098
35.0,5.2,2.6843262
40.0,5.2,2.6647167
45.0,5.2,3.383257
50.0,5.2,2.9555016
55.0,5.2,3.1318493
60.0,5.2,3.1029415
65.0,5.2,3.0659027
70.0,5.2,3.0804157
75.0,5.2,3.0632992
80.0,5.2,3.0565739
0.0,5.4,3.051384
5.0,5.4,3.043602
10.0,5.4,3.038126
15.0,5.4,3.0325394
20.0,5.4,3.0272903
25.0,5.4,3.022606
30.0,5.4,3.0181866
35.0,5.4,3.0141468
40.0,5.4,3.0104523
45.0,5.4,3.00708
50.0,5.4,3.0040874
55.0,5.4,3.0014896
60.0,5.4,2.999258
65.0,5.4,2.9973125
70.0,5.4,2.9943085
75.0,5.4,2.987852
80.0,5.4,2.9698982
0.0,5.6000000000000005,3.6425285
5.0,5.6000000000000005,3.2690525
10.0,5.6000000000000005,3.3899536
15.0,5.6000000000000005,3.3909512
20.0,5.6000000000000005,3.351366
25.0,5.6000000000000005,3.3641262
30.0,5.6000000000000005,3.3540325
35.0,5.6000000000000005,3.3469791
40.0,5.6000000000000005,3.343977
45.0,5.6000000000000005,3.3382893
50.0,5.6000000000000005,3.3339634
55.0,5.6000000000000005,3.3299522
60.0,5.6000000000000005,3.3259525
65.0,5.6000000000000005,3.3223782
70.0,5.6000000000000005,3.3190079
75.0,5.6000000000000005,3.3158627
80.0,5.6000000000000005,3.312954
0.0,5.800000000000001,3.310255
5.0,5.800000000000001,3.307785
